State,,Region,,Courses,,,Acres,,Label
Alabama,,South,,252,,,33548173,,AL
Alaska,,West,,24,,,424491046,,AK
Arizona,,West,,338,,,-72958912,,AZ
Arkansas,,South,,186,,,34034317,,AR
California,,West,,921,,,104765165,,CA
Colorado,,West,,239,,,66619885,,CO
Connecticut,,Northeast,,185,,,3547731,,CT
Delaware,,South,,42,,,1593133,,DE
Florida,,South,,1128,,,42082938,,FL
Georgia,,South,,401,,,38031853,,GA
Hawaii,,West,,83,,,0,,HI
Idaho,,West,,114,,,53484851,,ID
Illinois,,Midwest,,683,,,37065203,,IL
Indiana,,Midwest,,430,,,23307347,,IN
Iowa,,Midwest,,415,,,36013792,,IA
Kansas,,Midwest,,246,,,52657178,,KS
Kentucky,,South,,280,,,25861773,,KY
Louisiana,,South,,165,,,33177408,,LA
Maine,,Northeast,,141,,,22646176,,ME
Maryland,,South,,189,,,7940275,,MD
Massachusetts,,Northeast,,375,,,6754925,,MA
Michigan,,Midwest,,865,,,61898310,,MI
Minnesota,,Midwest,,0.508,,,55640877,,MN
Mississippi,,South,,153,,,30995322,,MS
Missouri,,Midwest,,352,,,44610758,,MO
Montana,,West,,100,,,94107136,,MT
Nebraska,,Midwest,,219,,,49506387,,NE
Nevada,,West,,95,,,70758861,,NV
New Hampshire,,Northeast,,113,,,5983962,,NH
New Jersey,,Northeast,,298,,,5581632,,NJ
New Mexico,,West,,699,,,77817267,,NM
New York,,Northeast,,818,,,34915840,,NY
North Carolina,,South,,0,,,34443846,,NC
North Dakota,,Midwest,,117,,,45247866,,ND
Ohio,,Midwest,,738,,,28687936,,OH
Oklahoma,,South,,213,,,44734842,,OK
Oregon,,West,,190,,,62963610,,OR
Pennsylvania,,Northeast,,297,,,29475354,,PA
Rhode Island,,Northeast,,57,,,988832,,RI
South Carolina,,South,,375,,,20492928,,SC
South Dakota,,Midwest,,120,,,49354554,,SD
Tennessee,,South,,297,,,26971693,,TN
Texas,,South,,907,,,171891725,,TX
Utah,,West,,116,,,54335251,,UT
Vermot,,Northeast,,68,,,6153126,,VT
Virginia,,South,,334,,,27375488,,VA
Washington,,West,,280,,,45631770,,WA
West Virginia,,South,,111,,,15507046,,WV
Wisconsin,,Midwest,,499,,,41918605,,WI
Wyoming,,West,,58,,,62600678,,WY
